customer_id,company_name,industry_segment,city,contract_type,credit_limit,current_balance,payment_terms_days,account_status,signup_date,account_manager
ACC0063,Mysuru Manufacturing Plant,Manufacturing,Nagpur,Net-30,2293945.88,1284774.54,30,active,2021-12-26,S. Nambiar
ACC0064,Mysuru Maintenance Services,Construction,Mysuru,Prepaid,2287049.64,810546.36,0,active,2020-07-11,R. Iyer
ACC0065,Vijayawada MEP Contractors,Facilities Management,Vijayawada,Net-60,2840142.59,714329.9,60,active,2021-08-10,A. Sethi
ACC0066,Bengaluru Facility Services,Utilities,Coimbatore,Net-60,2688105.29,2785768.9,60,overdue,2020-12-04,M. Fernandes
ACC0067,Mysuru Manufacturing Plant,Construction,Mysuru,Net-60,683023.99,104816.09,60,active,2024-03-16,R. Iyer
ACC0068,Nagpur Infra Projects Ltd,Construction,Coimbatore,Net-45,2597475.24,1051010.81,45,active,2022-07-26,R. Iyer
ACC0069,Bengaluru Facility Services,MEP/HVAC,Bengaluru,Net-45,4627716.77,1052134.57,45,active,2020-06-27,K. Prasad
ACC0070,Vijayawada Engineering Works,Facilities Management,Chennai,Net-30,2085023.3,1086402.97,30,active,2024-05-25,K. Prasad
ACC0071,Vijayawada Manufacturing Plant,MEP/HVAC,Pune,Net-60,946372.18,854942.29,60,overdue,2021-11-30,S. Nambiar
ACC0072,Mysuru Infra Projects Ltd,Manufacturing,Nagpur,Net-30,1335564.06,1484235.79,30,delinquent,2020-05-13,S. Nambiar
ACC0073,Bengaluru Engineering Works,MEP/HVAC,Vijayawada,Net-60,474780.69,178709.06,60,active,2022-05-27,S. Nambiar
ACC0074,Vijayawada Infra Projects Ltd,Construction,Vijayawada,Net-45,4416990.0,2320456.06,45,active,2024-03-03,M. Fernandes
ACC0075,Vijayawada Engineering Works,Utilities,Mysuru,Net-60,2833246.2,1115449.76,60,active,2022-08-28,A. Sethi
ACC0076,Vijayawada MEP Contractors,Facilities Management,Vijayawada,Net-45,1940412.38,2358852.41,45,delinquent,2021-11-03,S. Nambiar
ACC0077,Vijayawada Builders & Contractors,Construction,Bengaluru,Net-30,2664106.79,915512.15,30,active,2025-02-05,K. Prasad
ACC0078,Vijayawada Facility Services,Facilities Management,Vijayawada,Prepaid,4090443.2,3333676.64,0,active,2021-05-22,A. Sethi
ACC0079,Nagpur Construction Co.,Manufacturing,Chennai,Net-60,3544343.55,861834.49,60,active,2021-07-14,A. Sethi
ACC0080,Mysuru Facility Services,Manufacturing,Mysuru,Net-45,3329743.23,3103092.62,45,overdue,2021-03-20,K. Prasad
ACC0081,Vijayawada Infra Projects Ltd,Facilities Management,Coimbatore,Prepaid,2007681.03,772850.02,0,closed,2025-09-10,S. Nambiar
ACC0082,Bengaluru Facility Services,Real Estate,Pune,Net-30,2086387.84,1574788.36,30,active,2023-04-19,R. Iyer
ACC0083,Pune Manufacturing Plant,Facilities Management,Bengaluru,Net-30,3170320.91,450750.37,30,active,2021-12-01,R. Iyer
ACC0084,Coimbatore MEP Contractors,Utilities,Mysuru,Prepaid,4751266.55,4577184.79,0,overdue,2024-10-10,M. Fernandes
ACC0085,Vijayawada Real Estate Developers,Utilities,Chennai,Net-45,3447152.62,2960725.93,45,overdue,2023-04-04,K. Prasad
ACC0086,Hyderabad Engineering Works,Construction,Hyderabad,Prepaid,1180564.88,1074932.15,0,overdue,2021-08-15,M. Fernandes
ACC0087,Pune Construction Co.,MEP/HVAC,Hyderabad,Net-30,4386465.26,2873467.1,30,active,2020-01-08,R. Iyer
ACC0088,Pune Builders & Contractors,Facilities Management,Pune,Prepaid,2440082.76,1090887.74,0,active,2020-04-29,M. Fernandes
ACC0089,Nagpur Construction Co.,MEP/HVAC,Vijayawada,Net-45,4061913.65,4620023.75,45,delinquent,2023-08-10,A. Sethi
ACC0090,Bengaluru MEP Contractors,Manufacturing,Pune,Prepaid,4934282.87,4760883.64,0,overdue,2024-03-29,A. Sethi
ACC0091,Vijayawada Maintenance Services,Construction,Nagpur,Net-45,1709343.38,1734048.3,45,overdue,2024-01-17,M. Fernandes
ACC0092,Coimbatore MEP Contractors,Construction,Nagpur,Net-30,2168465.6,1433026.54,30,active,2024-08-14,A. Sethi
ACC0093,Coimbatore Real Estate Developers,Manufacturing,Hyderabad,Net-30,1890038.11,137610.37,30,active,2022-02-23,R. Iyer
ACC0094,Chennai Construction Co.,Manufacturing,Mysuru,Prepaid,924212.62,677024.76,0,active,2024-11-24,R. Iyer
ACC0095,Coimbatore Builders & Contractors,Manufacturing,Hyderabad,Net-45,265239.52,77931.01,45,active,2025-08-01,K. Prasad
ACC0096,Bengaluru Facility Services,Facilities Management,Nagpur,Net-45,1645094.21,777984.8,45,active,2022-06-16,M. Fernandes
ACC0097,Vijayawada Builders & Contractors,Utilities,Chennai,Net-30,487628.28,399630.24,30,active,2022-01-14,R. Iyer
ACC0098,Mysuru MEP Contractors,Construction,Chennai,Net-30,2998552.99,2638807.76,30,overdue,2025-09-25,M. Fernandes
ACC0099,Chennai Construction Co.,Utilities,Hyderabad,Prepaid,4495892.48,4479634.79,0,overdue,2021-07-22,R. Iyer
ACC0100,Hyderabad MEP Contractors,MEP/HVAC,Vijayawada,Net-30,2933970.61,898400.62,30,active,2025-07-15,R. Iyer
ACC0101,Coimbatore Infra Projects Ltd,Manufacturing,Pune,Net-60,1251757.77,1428196.21,60,delinquent,2021-11-20,R. Iyer
ACC0102,Nagpur Construction Co.,MEP/HVAC,Hyderabad,Prepaid,1490926.64,1813672.72,0,delinquent,2020-06-25,M. Fernandes
ACC0103,Chennai Infra Projects Ltd,Real Estate,Chennai,Prepaid,4553992.46,2001483.97,0,active,2024-04-30,K. Prasad
ACC0104,Mysuru Infra Projects Ltd,Utilities,Vijayawada,Net-30,4714640.62,6013743.69,30,delinquent,2022-07-21,R. Iyer
ACC0105,Hyderabad Builders & Contractors,Real Estate,Coimbatore,Net-30,1958655.68,1622531.77,30,active,2024-04-15,A. Sethi
ACC0106,Vijayawada Real Estate Developers,Construction,Nagpur,Prepaid,3979665.69,4965105.27,0,delinquent,2025-08-04,A. Sethi
ACC0107,Chennai Construction Co.,Facilities Management,Bengaluru,Prepaid,3314822.03,2287667.23,0,active,2021-12-21,S. Nambiar
ACC0108,Bengaluru Facility Services,Utilities,Vijayawada,Prepaid,4143491.35,4896843.35,0,delinquent,2023-09-15,M. Fernandes
ACC0109,Mysuru MEP Contractors,MEP/HVAC,Chennai,Net-60,1117468.59,395615.6,60,active,2021-12-14,S. Nambiar
ACC0110,Pune Maintenance Services,Construction,Bengaluru,Prepaid,2285420.05,69398.75,0,active,2023-12-29,R. Iyer
ACC0111,Pune MEP Contractors,MEP/HVAC,Nagpur,Net-45,494133.19,525577.6,45,delinquent,2023-03-25,M. Fernandes
ACC0112,Hyderabad MEP Contractors,Manufacturing,Hyderabad,Net-30,2281155.17,1096170.9,30,active,2020-07-17,R. Iyer
ACC0113,Coimbatore Infra Projects Ltd,Construction,Chennai,Net-60,1868557.71,815676.62,60,active,2021-04-23,S. Nambiar
ACC0114,Bengaluru Builders & Contractors,Construction,Pune,Prepaid,325391.3,44629.82,0,active,2024-10-16,A. Sethi
ACC0115,Chennai Maintenance Services,Utilities,Vijayawada,Net-60,526540.23,77993.2,60,active,2025-09-25,K. Prasad
ACC0116,Chennai Manufacturing Plant,Facilities Management,Chennai,Net-45,2535470.21,1470430.7,45,active,2021-04-17,M. Fernandes
ACC0117,Mysuru Engineering Works,Construction,Bengaluru,Net-45,2841591.72,591243.7,45,active,2021-08-20,S. Nambiar
ACC0118,Mysuru Facility Services,Utilities,Nagpur,Net-60,1126187.96,1009249.87,60,overdue,2023-11-05,A. Sethi
ACC0119,Coimbatore Engineering Works,MEP/HVAC,Pune,Prepaid,4307849.4,413310.58,0,active,2021-10-04,S. Nambiar
ACC0120,Pune MEP Contractors,Manufacturing,Mysuru,Net-30,2923223.75,2561777.98,30,overdue,2020-11-01,M. Fernandes
ACC0121,Chennai Infra Projects Ltd,MEP/HVAC,Coimbatore,Net-60,2654078.73,2055634.78,60,active,2022-10-26,M. Fernandes
ACC0122,Hyderabad Builders & Contractors,MEP/HVAC,Chennai,Net-60,4559776.7,2719930.51,60,active,2021-11-01,M. Fernandes
ACC0123,Bengaluru MEP Contractors,Manufacturing,Bengaluru,Net-45,4565647.29,2304436.51,45,active,2021-08-12,S. Nambiar
ACC0124,Nagpur Builders & Contractors,MEP/HVAC,Bengaluru,Prepaid,3654391.35,871227.06,0,active,2023-05-29,A. Sethi
ACC0125,Nagpur Maintenance Services,MEP/HVAC,Pune,Net-30,4180688.99,4487388.62,30,delinquent,2024-06-13,R. Iyer
ACC0126,Vijayawada Facility Services,Construction,Chennai,Net-60,3156332.28,2655705.67,60,active,2024-04-21,S. Nambiar
ACC0127,Hyderabad Construction Co.,Manufacturing,Nagpur,Net-45,3481858.94,1977109.25,45,active,2024-01-23,K. Prasad
ACC0128,Bengaluru Builders & Contractors,MEP/HVAC,Nagpur,Net-45,920598.17,1075952.04,45,delinquent,2023-04-23,M. Fernandes
ACC0129,Mysuru Engineering Works,MEP/HVAC,Mysuru,Prepaid,605293.25,610855.55,0,overdue,2021-05-04,A. Sethi
ACC0130,Coimbatore Manufacturing Plant,Facilities Management,Bengaluru,Net-30,3116492.58,3428789.78,30,delinquent,2020-01-24,M. Fernandes
ACC0131,Mysuru Real Estate Developers,MEP/HVAC,Nagpur,Net-30,811978.12,104345.38,30,active,2024-09-16,K. Prasad
ACC0132,Pune Construction Co.,Utilities,Coimbatore,Net-45,937031.67,725224.62,45,active,2025-07-05,K. Prasad
ACC0133,Coimbatore Maintenance Services,Manufacturing,Mysuru,Net-60,2110280.95,1313888.28,60,active,2025-02-15,S. Nambiar
ACC0134,Hyderabad Facility Services,Construction,Pune,Net-60,432012.22,74932.74,60,closed,2021-10-08,S. Nambiar
ACC0135,Nagpur Engineering Works,Manufacturing,Chennai,Net-30,4466674.71,4138617.95,30,overdue,2020-12-28,R. Iyer
ACC0136,Bengaluru MEP Contractors,Facilities Management,Pune,Prepaid,4393685.23,181757.87,0,active,2020-03-03,M. Fernandes
ACC0137,Bengaluru Manufacturing Plant,Real Estate,Vijayawada,Net-30,593076.64,123881.17,30,active,2021-06-30,S. Nambiar
ACC0138,Pune Construction Co.,Construction,Nagpur,Net-30,2496456.98,2861368.31,30,delinquent,2020-09-29,A. Sethi
ACC0139,Vijayawada Real Estate Developers,Construction,Bengaluru,Net-30,4536936.09,5019397.26,30,delinquent,2022-10-29,S. Nambiar
ACC0140,Chennai Manufacturing Plant,Construction,Hyderabad,Net-60,334173.89,87297.72,60,active,2022-08-08,R. Iyer
ACC0141,Pune Infra Projects Ltd,Utilities,Nagpur,Net-30,3326020.14,46130.87,30,active,2025-02-26,K. Prasad
ACC0142,Hyderabad Real Estate Developers,Manufacturing,Coimbatore,Net-45,1341289.1,660515.18,45,closed,2020-08-10,M. Fernandes
ACC0143,Mysuru Facility Services,Real Estate,Coimbatore,Net-45,3197284.74,4083998.16,45,delinquent,2024-02-05,M. Fernandes
ACC0144,Coimbatore Construction Co.,Utilities,Nagpur,Net-60,424169.36,191738.46,60,active,2021-09-21,M. Fernandes
ACC0145,Bengaluru Real Estate Developers,Utilities,Chennai,Prepaid,1186572.08,180832.36,0,active,2024-10-02,K. Prasad
ACC0146,Bengaluru Maintenance Services,Utilities,Bengaluru,Net-60,4323008.04,772008.36,60,active,2022-03-25,A. Sethi
ACC0147,Bengaluru Real Estate Developers,Construction,Chennai,Net-60,2035532.27,1536104.87,60,active,2021-06-05,M. Fernandes
ACC0148,Hyderabad Builders & Contractors,Utilities,Pune,Net-60,1561317.89,1454340.19,60,overdue,2021-03-08,K. Prasad
ACC0149,Hyderabad MEP Contractors,Facilities Management,Nagpur,Net-60,2897612.24,3223176.58,60,delinquent,2022-02-12,K. Prasad
ACC0150,Pune Builders & Contractors,Utilities,Coimbatore,Net-60,3362907.62,3269104.83,60,overdue,2023-06-28,R. Iyer
ACC0151,Bengaluru Real Estate Developers,Manufacturing,Nagpur,Net-45,4595179.49,3918118.92,45,overdue,2023-03-29,S. Nambiar
ACC0152,Pune Facility Services,Utilities,Vijayawada,Net-30,2856204.78,1633096.14,30,active,2023-02-13,A. Sethi
ACC0153,Coimbatore Facility Services,Facilities Management,Pune,Net-60,2340121.83,1732940.06,60,active,2023-11-04,S. Nambiar
ACC0154,Nagpur MEP Contractors,MEP/HVAC,Mysuru,Net-30,388634.62,80634.34,30,active,2021-10-20,K. Prasad
ACC0155,Pune Maintenance Services,Facilities Management,Chennai,Net-60,2640405.61,3119901.35,60,delinquent,2025-09-13,S. Nambiar
ACC0156,Pune Builders & Contractors,Construction,Coimbatore,Prepaid,4745839.05,455757.86,0,active,2023-01-18,S. Nambiar
ACC0157,Coimbatore Manufacturing Plant,Manufacturing,Vijayawada,Net-45,4408175.35,4515581.84,45,overdue,2023-09-08,K. Prasad
ACC0158,Mysuru Manufacturing Plant,Facilities Management,Vijayawada,Net-30,2783778.42,71224.28,30,active,2024-07-03,R. Iyer
ACC0159,Chennai Construction Co.,MEP/HVAC,Pune,Net-30,3122569.81,256225.27,30,active,2021-06-05,K. Prasad
ACC0160,Hyderabad Facility Services,Facilities Management,Nagpur,Prepaid,347728.62,340482.85,0,overdue,2022-07-15,S. Nambiar
ACC0161,Pune Maintenance Services,Facilities Management,Chennai,Net-30,2365941.6,2355437.48,30,overdue,2022-04-18,A. Sethi
ACC0162,Pune MEP Contractors,Real Estate,Pune,Net-45,3966009.51,295206.58,45,active,2022-10-22,K. Prasad
ACC0163,Bengaluru Real Estate Developers,Construction,Hyderabad,Net-30,1854116.1,1089491.11,30,active,2020-01-30,K. Prasad
ACC0164,Pune Facility Services,Construction,Chennai,Net-60,4653318.66,1661474.89,60,active,2021-08-08,K. Prasad
ACC0165,Pune Facility Services,Facilities Management,Hyderabad,Net-45,4741318.38,2433201.32,45,active,2025-07-22,A. Sethi
ACC0166,Chennai Construction Co.,Utilities,Coimbatore,Prepaid,1186096.79,24179.52,0,active,2024-11-16,S. Nambiar
ACC0167,Hyderabad Engineering Works,Real Estate,Coimbatore,Net-45,2860333.34,1921784.72,45,active,2025-05-31,S. Nambiar
ACC0168,Chennai Builders & Contractors,Manufacturing,Pune,Net-45,3070495.42,249063.5,45,active,2021-05-12,A. Sethi
ACC0169,Pune Facility Services,Real Estate,Vijayawada,Net-30,509061.01,6976.59,30,active,2021-04-10,A. Sethi
ACC0170,Nagpur Manufacturing Plant,Utilities,Nagpur,Net-45,651901.58,723331.73,45,delinquent,2022-05-19,S. Nambiar
ACC0171,Coimbatore Construction Co.,MEP/HVAC,Vijayawada,Net-60,3008649.12,380291.33,60,active,2024-09-21,R. Iyer
ACC0172,Vijayawada Facility Services,Construction,Bengaluru,Prepaid,3464959.17,904694.1,0,active,2023-11-01,S. Nambiar
ACC0173,Chennai Real Estate Developers,Manufacturing,Bengaluru,Net-45,4551075.15,5329030.42,45,delinquent,2025-03-26,S. Nambiar
ACC0174,Coimbatore Maintenance Services,Facilities Management,Bengaluru,Prepaid,4222432.4,5280842.81,0,delinquent,2021-07-28,S. Nambiar
ACC0175,Pune Facility Services,Manufacturing,Chennai,Net-45,279851.9,269625.47,45,overdue,2022-02-08,A. Sethi
ACC0176,Bengaluru Builders & Contractors,Facilities Management,Chennai,Net-30,4412106.28,578696.34,30,active,2024-11-05,K. Prasad
ACC0177,Coimbatore Engineering Works,Facilities Management,Bengaluru,Net-45,2442254.3,283444.88,45,active,2022-12-02,A. Sethi
ACC0178,Vijayawada Manufacturing Plant,Manufacturing,Vijayawada,Prepaid,1695387.16,921782.18,0,active,2022-10-05,R. Iyer
ACC0179,Coimbatore Engineering Works,Utilities,Nagpur,Net-30,433615.2,249339.81,30,active,2023-12-17,K. Prasad
ACC0180,Vijayawada Construction Co.,Construction,Vijayawada,Prepaid,2368686.06,2980724.49,0,delinquent,2020-11-11,M. Fernandes
ACC0181,Hyderabad MEP Contractors,Utilities,Vijayawada,Net-30,954187.9,977948.15,30,overdue,2022-03-23,K. Prasad
ACC0182,Nagpur Infra Projects Ltd,Real Estate,Chennai,Net-30,2681403.67,905738.5,30,active,2025-06-23,K. Prasad
ACC0183,Chennai Builders & Contractors,MEP/HVAC,Chennai,Net-45,4238831.94,2142426.03,45,active,2021-11-26,A. Sethi
ACC0184,Mysuru Real Estate Developers,Manufacturing,Chennai,Net-30,93195.65,49075.74,30,active,2022-06-02,K. Prasad
ACC0185,Vijayawada Real Estate Developers,Manufacturing,Chennai,Net-30,3604261.71,1737299.72,30,active,2024-07-02,A. Sethi
ACC0186,Vijayawada Facility Services,Utilities,Bengaluru,Prepaid,387810.18,471563.86,0,delinquent,2024-02-27,A. Sethi
ACC0187,Mysuru Builders & Contractors,MEP/HVAC,Bengaluru,Net-45,4657869.45,1472207.52,45,closed,2021-06-06,A. Sethi
ACC0188,Pune Manufacturing Plant,Construction,Chennai,Net-60,3837479.8,4713034.48,60,delinquent,2021-04-21,R. Iyer
ACC0189,Nagpur Maintenance Services,Facilities Management,Coimbatore,Net-30,2846543.57,3265872.92,30,delinquent,2021-10-21,M. Fernandes
ACC0190,Chennai Construction Co.,Facilities Management,Nagpur,Net-30,3209250.22,2664591.11,30,active,2021-10-23,R. Iyer
ACC0191,Pune Facility Services,Real Estate,Hyderabad,Net-45,3570571.98,2597221.87,45,active,2022-10-06,K. Prasad
ACC0192,Chennai Maintenance Services,Construction,Pune,Net-60,1729591.12,1382894.61,60,active,2021-03-08,A. Sethi
ACC0193,Mysuru Facility Services,Construction,Vijayawada,Net-60,4857595.94,2621133.26,60,active,2020-06-12,M. Fernandes
ACC0194,Nagpur Facility Services,Real Estate,Chennai,Net-45,3709457.84,541425.5,45,active,2020-02-02,M. Fernandes
ACC0195,Coimbatore Engineering Works,Construction,Coimbatore,Net-45,3601435.85,149448.78,45,active,2024-08-08,A. Sethi
ACC0196,Bengaluru Infra Projects Ltd,Facilities Management,Chennai,Net-60,1765690.39,302385.14,60,active,2021-06-05,A. Sethi
ACC0197,Bengaluru MEP Contractors,Facilities Management,Chennai,Net-45,1772934.86,1710471.89,45,overdue,2024-01-19,S. Nambiar
ACC0198,Bengaluru Facility Services,Real Estate,Coimbatore,Net-45,654967.66,834487.34,45,delinquent,2020-10-09,M. Fernandes
ACC0199,Nagpur Manufacturing Plant,Construction,Coimbatore,Net-45,3014851.76,1709650.21,45,active,2023-09-02,A. Sethi
ACC0200,Nagpur Builders & Contractors,Manufacturing,Nagpur,Net-60,1355960.25,924878.04,60,active,2023-11-18,M. Fernandes
ACC0201,Hyderabad Maintenance Services,Utilities,Nagpur,Net-45,1332055.58,1120540.65,45,active,2020-06-16,K. Prasad
ACC0202,Vijayawada Real Estate Developers,Utilities,Pune,Net-45,1738229.05,1598320.21,45,overdue,2021-09-13,A. Sethi
ACC0203,Hyderabad Engineering Works,Manufacturing,Mysuru,Net-60,1825568.01,1522574.29,60,active,2021-12-07,A. Sethi
ACC0204,Mysuru Infra Projects Ltd,MEP/HVAC,Nagpur,Net-30,1388636.93,781408.33,30,active,2021-07-12,M. Fernandes
ACC0205,Hyderabad Manufacturing Plant,MEP/HVAC,Vijayawada,Net-45,529163.96,82922.07,45,active,2024-12-29,S. Nambiar
ACC0206,Chennai Maintenance Services,Real Estate,Hyderabad,Net-30,760853.26,539527.01,30,active,2023-08-16,M. Fernandes
